"date","geography","geography code","Qualifications: All categories: Highest level of qualification; measures: Value","Qualifications: No qualifications; measures: Value","Qualifications: Highest level of qualification: Level 1 qualifications; measures: Value","Qualifications: Highest level of qualification: Level 2 qualifications; measures: Value","Qualifications: Highest level of qualification: Apprenticeship; measures: Value","Qualifications: Highest level of qualification: Level 3 qualifications; measures: Value","Qualifications: Highest level of qualification: Level 4 qualifications and above; measures: Value","Qualifications: Highest level of qualification: Other qualifications; measures: Value","Qualifications: Schoolchildren and full-time students: Age 16 to 17; measures: Value","Qualifications: Schoolchildren and full-time students: Age 18 and over; measures: Value","Qualifications: Full-time students: Age 18 to 74: Economically active: In employment; measures: Value","Qualifications: Full-time students: Age 18 to 74: Economically active: Unemployed; measures: Value","Qualifications: Full-time students: Age 18 to 74: Economically inactive; measures: Value"
"2011","N00000064 (Greystone ward)","N00000064",218,101,35,24,8,25,14,11,6,6,4,0,2
"2011","N00000065 (Greystone ward)","N00000065",327,82,54,41,16,44,74,16,6,17,10,1,6
"2011","N00000066 (Greystone ward)","N00000066",232,61,21,38,14,20,67,11,5,5,5,0,0
"2011","N00000067 (Greystone ward)","N00000067",243,95,32,51,15,14,23,13,11,8,3,3,2
"2011","N00000068 (Greystone ward)","N00000068",293,65,28,45,20,37,81,17,15,13,9,1,3
"2011","N00000069 (Greystone ward)","N00000069",238,110,38,40,6,26,14,4,11,8,3,1,4
"2011","N00000070 (Massereene ward)","N00000070",216,63,23,31,9,17,67,6,6,8,2,0,6
"2011","N00000071 (Massereene ward)","N00000071",254,93,26,34,10,35,39,17,2,6,5,0,1
"2011","N00000072 (Massereene ward)","N00000072",1290,229,156,226,49,201,354,75,46,41,17,4,20
"2011","N00000073 (Massereene ward)","N00000073",467,198,54,46,11,32,89,37,4,5,4,0,1
"2011","N00000074 (Massereene ward)","N00000074",764,97,93,131,26,112,266,39,20,23,10,3,10
"2011","N00000075 (Massereene ward)","N00000075",351,85,51,71,19,40,64,21,9,12,6,0,6
"2011","N00000076 (Massereene ward)","N00000076",258,54,38,49,11,40,51,15,13,14,8,0,6
"2011","N00000077 (Massereene ward)","N00000077",222,38,24,53,15,30,54,8,4,14,12,0,2
"2011","N00000078 (Massereene ward)","N00000078",330,42,41,63,15,48,106,15,12,14,9,2,3
"2011","N00000079 (Parkgate ward)","N00000079",423,74,43,75,16,67,141,7,19,31,17,1,13
"2011","N00000080 (Parkgate ward)","N00000080",324,56,37,49,4,50,117,11,12,14,5,2,7
"2011","N00000081 (Parkgate ward)","N00000081",279,77,31,43,12,33,80,3,11,12,8,0,4
"2011","N00000082 (Parkgate ward)","N00000082",277,50,25,44,15,29,101,13,9,6,1,0,5
"2011","N00000083 (Parkgate ward)","N00000083",503,105,51,89,23,69,156,10,30,27,13,0,14
"2011","N00000084 (Parkgate ward)","N00000084",356,98,30,57,15,36,113,7,11,20,5,1,14
"2011","N00000085 (Randalstown ward)","N00000085",354,147,33,51,9,34,60,20,9,9,3,0,6
"2011","N00000086 (Randalstown ward)","N00000086",292,69,34,56,14,31,71,17,9,18,9,0,9
"2011","N00000087 (Randalstown ward)","N00000087",684,125,87,119,32,90,199,32,27,30,13,4,13
"2011","N00000088 (Randalstown ward)","N00000088",196,95,24,26,8,14,20,9,4,3,0,0,3
"2011","N00000089 (Randalstown ward)","N00000089",352,85,34,66,17,40,100,10,17,15,5,1,9
"2011","N00000090 (Randalstown ward)","N00000090",300,66,29,58,10,41,82,14,12,12,6,0,6
"2011","N00000091 (Randalstown ward)","N00000091",350,78,38,56,19,30,95,34,7,11,6,0,5
"2011","N00000092 (Shilvodan ward)","N00000092",371,87,37,53,22,46,111,15,8,15,7,0,8
"2011","N00000093 (Shilvodan ward)","N00000093",340,98,29,51,32,34,78,18,13,17,9,1,7
"2011","N00000094 (Shilvodan ward)","N00000094",385,73,28,50,27,51,138,18,9,20,12,1,7
"2011","N00000095 (Shilvodan ward)","N00000095",353,78,26,66,29,43,104,7,14,23,13,1,9
"2011","N00000096 (Shilvodan ward)","N00000096",403,99,42,69,25,43,109,16,9,21,9,2,10
"2011","N00000097 (Springfarm ward)","N00000097",621,108,84,116,29,87,165,32,23,26,13,1,12
